axwum0969	5	2017-09-14 17:56:20	比之前版本强太多了太好了赞！ 网贷还是要选对平台，平安银行相对其它平台还是安全可靠的，服务好到账快，很方便。
fihikhhrd	5	2017-09-14 17:55:57	听说很好。才来下载的 之前不知道有平安银行，向别人借钱很尴尬，现在好了，这里下款很快，而且借钱方便。
shoufang18056	5	2017-09-14 17:55:45	在推荐里下的。感觉还不错 保障我们的资金安全，定期理财信用高
c_hegang	5	2017-09-14 17:55:26	一直用很不错！怕耽误时间。手机里不装。但唯一留下的就是这个！ 界面清晰容易操作，优惠活动非常多，口袋银行是大流行趋势，这个app做的很好，喜欢
tflws5968	5	2017-09-14 17:54:59	很不错的手机必备。太给力了。了还想 现在的网贷多了去了，还是平安银行靠谱点，审核放款一直都很快。
upmowgixl	5	2017-09-14 17:54:44	超好的！要什么有什么！棒棒哒 我有个兄弟也在平安银行上申请了贷款，也下款了，门槛还挺低的。
ldbxw9909	5	2017-09-14 17:54:33	喜欢，很清新，很文艺得一个 真的很不错平时购物就用它很方便
behai之瑶a	5	2017-09-14 17:53:36	非常实用界面可以再增加点功能会更很好的人啊呢！ 填写资料很方便的，前天试着申请了，几分钟就搞定了所有的手续，贷款很快就到账了，是个可靠的平台。
jtewg尔曼	5	2017-09-14 17:53:09	每天都看一看。。运行稳定，鼓励一下，要继续坚持，发更多不错得东西 觉得平安银行很照顾理财菜鸟。
彭刚健	5	2017-09-14 17:52:42	每天都看一看。。运行稳定，鼓励一下，要继续坚持，发更多不错得东西 平安银行是朋友推荐给我使用的，当初不太相信，用了之后觉得这个APP真是太好了，借钱方便，下款速度快。
甜美沛岚60	5	2017-09-14 17:52:20	好东西，推荐给大伙，很好的 平安信用卡好办理，手续不反锁
anzie7711a	5	2017-09-14 17:52:13	挺不错的。不错就是不错。不错啦。真不错啦。太不错。啥也不说。就是不错的 真的可以借到钱的，我好几个同事也在平安银行上面申请了贷款，都下款了呀，门槛还是挺低的。
360U2864534010	5	2017-09-14 17:51:51	用过很久了！最早一批使用得！越来越棒了 平安银行里得理财产品种类多，利率高，收益还不错，值得推荐得一款app
360U2642373182	1	2017-10-27 12:18:14	超级烂的软件，卡到爆。不是必须给个星就一星都不会给。
妞你就从了爷吧	1	2017-10-22 22:33:46	现一直说我网络不佳，就是连不进去，其他软件都行，就你高贵，呵呵，垃圾
markgemark	1	2017-10-19 15:06:07	反应太慢了
命中yi注定	1	2017-10-16 10:14:58	垃圾中的垃圾！老打不开，有的时候打开了还不能用！
360U2934935603	1	2017-10-12 19:25:07	垃坡
360U574508940	1	2017-10-12 11:03:50	垃圾App，老打不开啊！
给你壹板砖	1	2017-09-29 09:42:04	好好的平安信用卡APP非得整合到一起，体积臃肿功能冗余，垃圾！！！
妞你就从了爷吧	1	2017-09-28 22:43:56	卡的不要不要的，真无语
360U2752496321	1	2017-09-27 21:55:26	新版就是垃圾
360U508913959	1	2017-09-21 15:47:41	垃圾，老是自己闪退
听说t好玩些	1	2017-09-17 09:21:43	什么玩意？！手势解锁报系统错误，打开页面要等5秒都不止，换了iPhone版本测试还是一样，不是为了她，我早删了
360U2957209720	1	2017-09-15 07:31:52	垃圾软件扫码认证根本用不了，扫不出
